epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.70308,0.68088,1.09587,3.00212,0.96637,0,0.49548,0.71083,0.64488,0.54431,0.49548,0.71083,0.64488,0.56337,0.69139,0.88553,7.00817,0.96775,0,0.0003,0.0003,0.0003
2,7.30965,0.56532,0.78085,1.56016,0.94558,0,0.56988,0.77036,0.78945,0.6187,0.56988,0.77036,0.78945,0.67701,0.81087,1.0282,4.8529,1.07993,0,0.000606436,0.000606436,0.000606436
3,10.8341,0.64206,0.86227,1.25428,0.98601,0,0.69406,0.69394,0.61057,0.43813,0.69406,0.69394,0.61057,0.47675,1.03623,0.83183,2.1383,1.3792,0,0.000906685,0.000906685,0.000906685
4,14.2929,0.66967,0.78283,1.05732,0.96387,0,0.71324,0.71629,0.60785,0.45709,0.71324,0.71629,0.60785,0.51655,0.93665,1.02677,2.95744,1.14928,0,0.00120075,0.00120075,0.00120075
5,17.6062,0.70501,0.79695,1.07812,0.99203,0,0.55883,0.68281,0.54359,0.36501,0.55883,0.68281,0.54359,0.42302,1.01943,1.13642,2.9518,1.31936,0,0.0012005,0.0012005,0.0012005
6,20.961,0.68355,0.76971,0.98592,1.00585,0,0.76716,0.68604,0.70345,0.53712,0.76598,0.66663,0.6954,0.57782,0.89764,0.98857,1.45118,1.18421,0,0.00118812,0.00118812,0.00118812
7,24.4333,0.67641,0.90595,0.91073,0.97468,0,0.55823,0.54521,0.57328,0.42159,0.57181,0.56384,0.59754,0.48666,1.02382,1.01304,1.56159,1.24936,0,0.00117575,0.00117575,0.00117575
8,27.7794,0.69417,0.7948,0.90562,0.99642,0,0.7602,0.86317,0.80758,0.68197,0.7602,0.86317,0.80758,0.74357,0.76431,0.56557,1.8918,1.00146,0,0.00116337,0.00116337,0.00116337
9,31.3044,0.66588,0.65928,0.81195,0.95887,0,0.72868,0.72153,0.60098,0.47181,0.72868,0.72153,0.60098,0.53656,0.78067,0.59012,1.40304,1.03503,0,0.001151,0.001151,0.001151
10,34.6352,0.64792,0.69976,0.8536,0.99423,0,0.59942,0.6551,0.62234,0.46762,0.59942,0.6551,0.62234,0.5744,0.81542,0.5972,1.35385,1.00372,0,0.00113863,0.00113863,0.00113863
11,38.0215,0.63371,0.80746,0.77926,0.96633,0,0.85188,0.83708,0.85499,0.66723,0.85188,0.83708,0.85499,0.78176,0.85087,0.64293,1.77474,1.14888,0,0.00112625,0.00112625,0.00112625
12,41.3156,0.60454,0.62017,0.71324,0.96194,0,0.68037,0.76358,0.73958,0.55606,0.68037,0.76358,0.73958,0.59982,0.77278,1.24256,1.38089,1.13748,0,0.00111388,0.00111388,0.00111388
